comarca,nome_area_acao,ano_ref,Distribuidos_ano,Baixados_ano,Pendentes_ano,Taxa_Cong_anual (%)
ABADIÂNIA,civel,2024,299,282,258,47.78
ABADIÂNIA,criminal,2024,236,291,146,33.41
ABADIÂNIA,execucao penal,2024,28,14,25,64.1
ABADIÂNIA,familia - interior,2024,240,281,163,36.71
ABADIÂNIA,fazenda publica mista,2024,102,485,63,11.5
ABADIÂNIA,infancia e juventude civel,2024,8,10,6,37.5
ABADIÂNIA,infancia e juventude infracional,2024,11,23,9,28.12
ABADIÂNIA,juizado especial civel,2024,630,693,292,29.64
ABADIÂNIA,juizado especial criminal,2024,178,153,132,46.32
ABADIÂNIA,juizado especial fazenda publica,2024,53,103,52,33.55
ACREÚNA,civel,2024,605,497,495,49.9
ACREÚNA,criminal,2024,404,521,195,27.23
ACREÚNA,execucao penal,2024,100,81,93,53.45
ACREÚNA,familia - interior,2024,255,356,115,24.42
ACREÚNA,fazenda publica mista,2024,424,586,380,39.34
ACREÚNA,infancia e juventude civel,2024,20,25,15,37.5
ACREÚNA,infancia e juventude infracional,2024,30,32,22,40.74
ACREÚNA,juizado especial civel,2024,450,408,311,43.25
ACREÚNA,juizado especial criminal,2024,139,118,120,50.42
ACREÚNA,juizado especial fazenda publica,2024,27,46,23,33.33
ALEXÂNIA,civel,2024,537,534,441,45.23
ALEXÂNIA,criminal,2024,641,739,265,26.39
ALEXÂNIA,execucao penal,2024,81,84,73,46.5
ALEXÂNIA,familia - interior,2024,467,543,295,35.2
ALEXÂNIA,fazenda publica mista,2024,164,484,121,20.0
ALEXÂNIA,infancia e juventude civel,2024,15,24,9,27.27
ALEXÂNIA,infancia e juventude infracional,2024,57,60,26,30.23
ALEXÂNIA,juizado especial civel,2024,1247,1436,696,32.65
ALEXÂNIA,juizado especial criminal,2024,1454,1210,708,36.91
ALEXÂNIA,juizado especial fazenda publica,2024,67,48,63,56.76
ALTO PARAÍSO DE GOIÁS,civel,2024,328,214,300,58.37
ALTO PARAÍSO DE GOIÁS,criminal,2024,601,597,335,35.94
ALTO PARAÍSO DE GOIÁS,execucao penal,2024,50,42,47,52.81
ALTO PARAÍSO DE GOIÁS,familia - interior,2024,271,263,211,44.51
ALTO PARAÍSO DE GOIÁS,fazenda publica mista,2024,185,231,175,43.1
ALTO PARAÍSO DE GOIÁS,infancia e juventude civel,2024,34,21,27,56.25
ALTO PARAÍSO DE GOIÁS,infancia e juventude infracional,2024,19,13,18,58.06
ALTO PARAÍSO DE GOIÁS,juizado especial civel,2024,202,168,166,49.7
ALTO PARAÍSO DE GOIÁS,juizado especial criminal,2024,161,173,145,45.6
ALTO PARAÍSO DE GOIÁS,juizado especial fazenda publica,2024,36,15,35,70.0
ALVORADA DO NORTE,civel,2024,361,257,317,55.23
ALVORADA DO NORTE,criminal,2024,520,786,329,29.51
ALVORADA DO NORTE,execucao penal,2024,85,26,81,75.7
ALVORADA DO NORTE,familia - interior,2024,297,365,164,31.0
ALVORADA DO NORTE,fazenda publica mista,2024,277,526,238,31.15
ALVORADA DO NORTE,infancia e juventude civel,2024,18,38,13,25.49
