,comarca,nome_area_acao,ano_ref,Distribuidos_ano,Baixados_ano,Pendentes_ano,Taxa_Cong_anual (%)
0,ABADIÂNIA,civel,2020,164,192,144,42.86
1,ABADIÂNIA,criminal,2020,273,215,157,42.2
2,ABADIÂNIA,familia - interior,2020,191,202,158,43.89
3,ABADIÂNIA,fazenda publica mista,2020,96,133,90,40.36
4,ABADIÂNIA,infancia e juventude civel,2020,9,15,9,37.5
5,ABADIÂNIA,infancia e juventude infracional,2020,21,17,21,55.26
6,ABADIÂNIA,juizado especial civel,2020,429,295,354,54.55
7,ABADIÂNIA,juizado especial criminal,2020,174,61,160,72.4
8,ABADIÂNIA,juizado especial fazenda publica,2020,8,1,8,88.89
9,ACREÚNA,civel,2020,348,454,261,36.5
10,ACREÚNA,criminal,2020,417,576,221,27.73
11,ACREÚNA,familia - interior,2020,273,321,132,29.14
12,ACREÚNA,fazenda publica mista,2020,437,856,405,32.12
13,ACREÚNA,infancia e juventude civel,2020,18,23,14,37.84
14,ACREÚNA,infancia e juventude infracional,2020,10,17,6,26.09
15,ACREÚNA,juizado especial civel,2020,333,696,219,23.93
16,ACREÚNA,juizado especial criminal,2020,119,74,81,52.26
17,ACREÚNA,juizado especial fazenda publica,2020,45,6,40,86.96
18,ALEXÂNIA,civel,2020,305,233,253,52.06
19,ALEXÂNIA,criminal,2020,507,447,311,41.03
20,ALEXÂNIA,execucao penal,2020,2,323,0,0.0
21,ALEXÂNIA,familia - interior,2020,405,531,270,33.71
22,ALEXÂNIA,fazenda publica mista,2020,287,190,266,58.33
23,ALEXÂNIA,infancia e juventude civel,2020,10,38,8,17.39
24,ALEXÂNIA,infancia e juventude infracional,2020,40,78,36,31.58
25,ALEXÂNIA,juizado especial civel,2020,650,583,484,45.36
26,ALEXÂNIA,juizado especial criminal,2020,266,252,254,50.2
27,ALEXÂNIA,juizado especial fazenda publica,2020,17,0,17,100.0
28,ALTO PARAÍSO DE GOIÁS,civel,2020,239,124,220,63.95
29,ALTO PARAÍSO DE GOIÁS,criminal,2020,343,354,270,43.27
30,ALTO PARAÍSO DE GOIÁS,familia - interior,2020,175,135,131,49.25
31,ALTO PARAÍSO DE GOIÁS,fazenda publica mista,2020,101,755,95,11.18
32,ALTO PARAÍSO DE GOIÁS,infancia e juventude civel,2020,20,30,8,21.05
33,ALTO PARAÍSO DE GOIÁS,infancia e juventude infracional,2020,14,14,12,46.15
34,ALTO PARAÍSO DE GOIÁS,juizado especial civel,2020,104,87,93,51.67
35,ALTO PARAÍSO DE GOIÁS,juizado especial criminal,2020,120,465,106,18.56
36,ALTO PARAÍSO DE GOIÁS,juizado especial fazenda publica,2020,16,0,16,100.0
37,ALVORADA DO NORTE,civel,2020,174,195,144,42.48
38,ALVORADA DO NORTE,criminal,2020,431,307,300,49.42
39,ALVORADA DO NORTE,familia - interior,2020,198,184,147,44.41
40,ALVORADA DO NORTE,fazenda publica mista,2020,203,283,194,40.67
41,ALVORADA DO NORTE,infancia e juventude civel,2020,20,16,15,48.39
42,ALVORADA DO NORTE,infancia e juventude infracional,2020,20,11,16,59.26
43,ALVORADA DO NORTE,juizado especial civel,2020,188,147,172,53.92
44,ALVORADA DO NORTE,juizado especial criminal,2020,112,183,103,36.01
45,ALVORADA DO NORTE,juizado especial fazenda publica,2020,19,0,19,100.0
46,ANICUNS,civel,2020,349,452,265,36.96
47,ANICUNS,criminal,2020,296,283,204,41.89
48,ANICUNS,execucao penal,2020,1,146,0,0.0
49,ANICUNS,familia - interior,2020,289,376,180,32.37
50,ANICUNS,fazenda publica mista,2020,595,703,497,41.42
51,ANICUNS,infancia e juventude civel,2020,6,8,1,11.11
52,ANICUNS,infancia e juventude infracional,2020,11,23,8,25.81
53,ANICUNS,juizado especial civel,2020,797,1494,430,22.35
54,ANICUNS,juizado especial criminal,2020,168,208,72,25.71
55,ANICUNS,juizado especial fazenda publica,2020,168,11,157,93.45
56,ANÁPOLIS,civel,2020,5493,5437,4959,47.7
57,ANÁPOLIS,criminal,2020,4168,4318,2774,39.11
58,ANÁPOLIS,detencao,2020,179,53,174,76.65
59,ANÁPOLIS,execucao de pena alternativa,2020,8,9,1,10.0
60,ANÁPOLIS,execucao penal,2020,14,297,4,1.33
61,ANÁPOLIS,familia - interior,2020,4511,4536,3235,41.63
62,ANÁPOLIS,fazenda publica estadual interior,2020,733,732,662,47.49
63,ANÁPOLIS,fazenda publica municipal interior,2020,855,22432,703,3.04
64,ANÁPOLIS,infancia e juventude civel,2020,238,451,189,29.53
65,ANÁPOLIS,infancia e juventude infracional,2020,454,973,342,26.01
66,ANÁPOLIS,juizado criminal,2020,3,8,3,27.27
67,ANÁPOLIS,juizado de violencia domestica,2020,1264,392,1142,74.45
68,ANÁPOLIS,juizado especial civel,2020,9479,11270,6864,37.85
69,ANÁPOLIS,juizado especial criminal,2020,2236,1858,2078,52.79
70,ANÁPOLIS,juizado especial fazenda publica,2020,586,9,577,98.46
71,ANÁPOLIS,maria da penha - criminal,2020,20,110,13,10.57
72,ANÁPOLIS,reclusao,2020,197,178,182,50.56
73,ANÁPOLIS,tribunal do juri,2020,4,69,2,2.82
74,APARECIDA DE GOIÂNIA,civel,2020,6533,5483,5964,52.1
75,APARECIDA DE GOIÂNIA,crimes dolosos,2020,120,448,31,6.47
76,APARECIDA DE GOIÂNIA,criminal,2020,4633,4069,2615,39.12
77,APARECIDA DE GOIÂNIA,detencao,2020,1,129,0,0.0
78,APARECIDA DE GOIÂNIA,execucao penal,2020,2,149,0,0.0
79,APARECIDA DE GOIÂNIA,familia - interior,2020,4572,4997,2993,37.46
80,APARECIDA DE GOIÂNIA,fazenda publica estadual interior,2020,579,289,568,66.28
81,APARECIDA DE GOIÂNIA,fazenda publica municipal interior,2020,10398,3550,10370,74.5
82,APARECIDA DE GOIÂNIA,infancia e juventude civel,2020,482,757,313,29.25
83,APARECIDA DE GOIÂNIA,infancia e juventude infracional,2020,452,841,256,23.34
84,APARECIDA DE GOIÂNIA,juizado criminal,2020,1,11,1,8.33
85,APARECIDA DE GOIÂNIA,juizado de violencia domestica,2020,1792,211,1615,88.44
86,APARECIDA DE GOIÂNIA,juizado especial civel,2020,5779,5843,3920,40.15
87,APARECIDA DE GOIÂNIA,juizado especial criminal,2020,2081,1170,1578,57.42
88,APARECIDA DE GOIÂNIA,juizado especial fazenda publica,2020,850,8,842,99.06
89,APARECIDA DE GOIÂNIA,maria da penha - criminal,2020,542,3595,53,1.45
90,APARECIDA DE GOIÂNIA,reclusao,2020,21,1152,11,0.95
91,APARECIDA DE GOIÂNIA,saude publica,2020,1,249,1,0.4
92,APARECIDA DE GOIÂNIA,transito,2020,2,90,0,0.0
93,ARAGARÇAS,civel,2020,232,341,208,37.89
94,ARAGARÇAS,criminal,2020,472,461,374,44.79
95,ARAGARÇAS,familia - interior,2020,247,419,202,32.53
96,ARAGARÇAS,fazenda publica mista,2020,279,598,243,28.89
97,ARAGARÇAS,infancia e juventude civel,2020,11,24,8,25.0
98,ARAGARÇAS,infancia e juventude infracional,2020,13,35,11,23.91
99,ARAGARÇAS,juizado criminal,2020,1,2,0,0.0
100,ARAGARÇAS,juizado especial civel,2020,301,612,248,28.84
101,ARAGARÇAS,juizado especial criminal,2020,98,169,90,34.75
102,ARAGARÇAS,juizado especial fazenda publica,2020,51,5,47,90.38
103,ARAÇU,civel,2020,126,578,95,14.12
104,ARAÇU,criminal,2020,172,138,110,44.35
105,ARAÇU,execucao penal,2020,1,3,1,25.0
106,ARAÇU,familia - interior,2020,116,286,81,22.07
107,ARAÇU,fazenda publica mista,2020,126,209,114,35.29
108,ARAÇU,infancia e juventude civel,2020,4,22,3,12.0
109,ARAÇU,infancia e juventude infracional,2020,3,4,3,42.86
110,ARAÇU,juizado especial civel,2020,153,182,114,38.51
111,ARAÇU,juizado especial criminal,2020,33,51,31,37.8
112,ARAÇU,juizado especial fazenda publica,2020,17,0,17,100.0
113,ARUANÃ,civel,2020,179,170,150,46.88
114,ARUANÃ,criminal,2020,365,230,265,53.54
115,ARUANÃ,familia - interior,2020,178,216,119,35.52
116,ARUANÃ,fazenda publica mista,2020,913,406,909,69.13
117,ARUANÃ,infancia e juventude,2020,1,0,1,100.0
118,ARUANÃ,infancia e juventude civel,2020,9,9,6,40.0
119,ARUANÃ,infancia e juventude infracional,2020,27,20,21,51.22
120,ARUANÃ,juizado especial civel,2020,129,254,110,30.22
121,ARUANÃ,juizado especial criminal,2020,90,184,84,31.34
122,ARUANÃ,juizado especial fazenda publica,2020,30,0,30,100.0
123,AURILÂNDIA,civel,2020,51,64,40,38.46
124,AURILÂNDIA,criminal,2020,68,92,32,25.81
125,AURILÂNDIA,execucao penal,2020,1,33,1,2.94
126,AURILÂNDIA,familia - interior,2020,71,93,45,32.61
127,AURILÂNDIA,fazenda publica mista,2020,69,128,64,33.33
128,AURILÂNDIA,infancia e juventude civel,2020,3,5,2,28.57
129,AURILÂNDIA,infancia e juventude infracional,2020,12,31,5,13.89
130,AURILÂNDIA,juizado especial civel,2020,104,133,81,37.85
131,AURILÂNDIA,juizado especial criminal,2020,43,45,35,43.75
132,AURILÂNDIA,juizado especial fazenda publica,2020,9,1,8,88.89
133,BARRO ALTO,civel,2020,125,114,103,47.47
134,BARRO ALTO,criminal,2020,305,254,189,42.66
135,BARRO ALTO,execucao penal,2020,2,83,0,0.0
136,BARRO ALTO,familia - interior,2020,157,152,90,37.19
137,BARRO ALTO,fazenda publica mista,2020,66,181,53,22.65
138,BARRO ALTO,infancia e juventude civel,2020,6,8,3,27.27
139,BARRO ALTO,infancia e juventude infracional,2020,6,6,5,45.45
140,BARRO ALTO,juizado especial civel,2020,186,139,133,48.9
141,BARRO ALTO,juizado especial criminal,2020,92,75,87,53.7
142,BARRO ALTO,juizado especial fazenda publica,2020,6,1,6,85.71
143,BELA VISTA DE GOIÁS,civel,2020,318,277,271,49.45
144,BELA VISTA DE GOIÁS,criminal,2020,412,467,215,31.52
145,BELA VISTA DE GOIÁS,familia - interior,2020,237,317,135,29.87
146,BELA VISTA DE GOIÁS,fazenda publica mista,2020,85,281,62,18.08
147,BELA VISTA DE GOIÁS,infancia e juventude civel,2020,24,36,12,25.0
148,BELA VISTA DE GOIÁS,infancia e juventude infracional,2020,22,39,20,33.9
149,BELA VISTA DE GOIÁS,juizado especial civel e criminal,2020,678,607,561,48.03
150,BELA VISTA DE GOIÁS,juizado especial fazenda publica,2020,25,0,25,100.0
151,BOM JESUS DE GOIÁS,civel,2020,214,314,168,34.85
152,BOM JESUS DE GOIÁS,criminal,2020,385,300,266,47.0
153,BOM JESUS DE GOIÁS,execucao penal,2020,2,180,1,0.55
154,BOM JESUS DE GOIÁS,familia - interior,2020,344,344,177,33.97
155,BOM JESUS DE GOIÁS,fazenda publica mista,2020,63,533,34,6.0
156,BOM JESUS DE GOIÁS,infancia e juventude civel,2020,2,4,0,0.0
157,BOM JESUS DE GOIÁS,infancia e juventude infracional,2020,49,24,39,61.9
158,BOM JESUS DE GOIÁS,juizado especial civel,2020,783,282,649,69.71
159,BOM JESUS DE GOIÁS,juizado especial criminal,2020,264,96,209,68.52
160,BOM JESUS DE GOIÁS,juizado especial fazenda publica,2020,19,3,17,85.0
161,BURITI ALEGRE,civel,2020,158,185,116,38.54
162,BURITI ALEGRE,criminal,2020,234,253,126,33.25
163,BURITI ALEGRE,execucao penal,2020,1,91,1,1.09
164,BURITI ALEGRE,familia - interior,2020,163,213,91,29.93
165,BURITI ALEGRE,fazenda publica mista,2020,70,261,40,13.29
166,BURITI ALEGRE,infancia e juventude civel,2020,18,10,14,58.33
167,BURITI ALEGRE,infancia e juventude infracional,2020,15,29,9,23.68
168,BURITI ALEGRE,juizado especial civel,2020,466,387,348,47.35
169,BURITI ALEGRE,juizado especial criminal,2020,87,122,59,32.6
170,BURITI ALEGRE,juizado especial fazenda publica,2020,15,0,15,100.0
171,CACHOEIRA ALTA,civel,2020,157,168,116,40.85
172,CACHOEIRA ALTA,criminal,2020,187,174,100,36.5
173,CACHOEIRA ALTA,familia - interior,2020,176,197,89,31.12
174,CACHOEIRA ALTA,fazenda publica mista,2020,142,99,137,58.05
175,CACHOEIRA ALTA,infancia e juventude civel,2020,16,13,8,38.1
176,CACHOEIRA ALTA,infancia e juventude infracional,2020,5,9,2,18.18
